p = 12; number of cycles = 10000; data structure = Apache Data Sketches Java HLL4
true distinct count; minimum memory size; average memory size; maximum memory size; minimum serialization size; average serialization size; maximum serialization size; relative distinct count estimation bias; relative distinct count estimation rmse; estimated memory MVP; estimated serialization MVP
46; 472; 472.0; 472; 196; 196.0; 196; 1.1175872362810957E-7; 1.1175872362810866E-7; 4.716228647117148E-11; 1.9584339297350866E-11
48; 472; 472.0; 472; 204; 204.0; 204; 1.167257785243218E-7; 1.1672577852432074E-7; 5.144765023708275E-11; 2.2235848831281525E-11
50; 728; 728.0; 728; 212; 212.0; 212; 1.2169283365892626E-7; 1.21692833658937E-7; 8.624846492919652E-11; 2.511631121564514E-11
52; 728; 728.0; 728; 220; 220.0; 220; 1.266598888677733E-7; 1.2665988886777198E-7; 9.343284465713074E-11; 2.823520030847358E-11
54; 728; 728.0; 728; 228; 228.0; 228; 1.316269442741958E-7; 1.3162694427419425E-7; 1.0090459992099376E-10; 3.1601990085146396E-11
56; 728; 728.0; 728; 236; 236.0; 236; 1.3659399922261173E-7; 1.365939992226048E-7; 1.0866372971199181E-10; 3.522615413740394E-11
58; 728; 728.0; 728; 244; 244.0; 244; 1.4156105486296743E-7; 1.415610548629656E-7; 1.1671023584680422E-10; 3.9117166959643166E-11
60; 728; 728.0; 728; 252; 252.0; 252; 1.465281101786786E-7; 1.4652811017867655E-7; 1.250441167104402E-10; 4.328450193822931E-11
62; 728; 728.0; 728; 260; 260.0; 260; 1.5149516543036983E-7; 1.514951654303819E-7; 1.336653727064876E-10; 4.773763310945986E-11
65; 728; 728.0; 728; 272; 272.0; 272; 1.5894574906164612E-7; 1.5894574906165732E-7; 1.4713608666714823E-10; 5.497392249102242E-11
68; 728; 728.0; 728; 284; 284.0; 284; 1.6639633211171072E-7; 1.663963321117203E-7; 1.6125339391752236E-10; 6.290654378101147E-11
71; 728; 728.0; 728; 296; 296.0; 296; 1.7384691555492627E-7; 1.738469155549343E-7; 1.7601729627934499E-10; 7.156747211357984E-11
74; 728; 728.0; 728; 308; 308.0; 308; 1.8129749934347715E-7; 1.8129749934348363E-7; 1.9142779375399942E-10; 8.098868197284591E-11
