p = 12; sample_size = 100
true distinct count; compressed bytes hll6 bzip2; compressed bytes hll6 lzma; compressed bytes hll6 deflate; compressed bytes hll6 zstd; compressed bytes hll8 bzip2; compressed bytes hll8 lzma; compressed bytes hll8 deflate; compressed bytes hll8 zstd; compressed bytes ull bzip2; compressed bytes ull lzma; compressed bytes ull deflate; compressed bytes ull zstd
1.0; 50.95; 44.73; 32.71; 25.98; 50.26; 48.91; 33.12; 25.97; 52.01; 48.91; 34.03; 25.97
2.0; 55.75; 47.81; 37.0; 29.21; 54.1; 52.28; 37.09; 29.86; 56.54; 52.31; 38.6; 29.86
3.0; 61.0; 50.95; 42.27; 33.75; 58.63; 55.3; 41.84; 35.39; 61.04; 55.37; 43.69; 35.39
4.0; 65.32; 53.73; 45.95; 38.72; 61.93; 58.06; 46.31; 40.83; 64.74; 58.18; 48.39; 40.83
5.0; 69.17; 56.65; 49.47; 44.0; 65.45; 60.77; 49.63; 45.92; 68.16; 60.89; 51.97; 45.92
6.0; 72.03; 59.26; 53.18; 49.17; 68.44; 63.16; 53.08; 50.86; 70.97; 63.28; 55.52; 50.86
7.0; 75.42; 62.05; 56.63; 54.0; 70.67; 65.55; 56.06; 55.11; 73.3; 65.69; 58.41; 55.11
8.0; 78.57; 64.45; 59.67; 58.71; 72.85; 68.02; 59.43; 59.31; 75.4; 68.23; 61.54; 59.31
9.0; 82.44; 66.91; 62.86; 63.63; 75.62; 70.28; 62.2; 63.63; 78.39; 70.45; 64.18; 63.63
10.0; 85.63; 69.45; 66.1; 67.8; 79.31; 72.8; 65.07; 68.17; 81.61; 72.96; 66.74; 68.17
11.0; 89.28; 71.78; 69.3; 72.04; 83.11; 75.19; 68.05; 72.96; 85.48; 75.4; 69.57; 72.96
12.0; 92.53; 74.34; 72.5; 76.48; 86.0; 77.69; 70.8; 77.73; 88.12; 77.85; 72.14; 77.73
13.0; 95.32; 76.81; 75.33; 80.66; 88.65; 80.47; 73.44; 82.28; 90.82; 80.61; 74.68; 82.28
14.0; 97.36; 79.29; 78.27; 85.02; 90.86; 82.71; 76.01; 86.24; 93.0; 83.01; 77.35; 86.24
15.0; 99.57; 81.84; 81.65; 89.43; 93.49; 85.2; 78.67; 90.56; 95.45; 85.38; 80.01; 90.54
16.0; 101.47; 84.22; 84.63; 93.59; 95.44; 87.61; 81.31; 94.82; 97.46; 87.84; 82.69; 94.79
17.0; 103.74; 86.86; 87.57; 97.5; 97.14; 90.03; 83.99; 99.09; 99.12; 90.36; 85.34; 99.1
18.0; 106.03; 89.39; 90.38; 101.59; 98.88; 92.66; 86.39; 102.84; 101.0; 92.9; 87.82; 102.81
19.0; 108.67; 92.14; 93.29; 105.54; 100.16; 94.86; 88.82; 106.82; 102.22; 95.11; 90.37; 106.85
20.0; 111.27; 94.33; 96.16; 109.5; 101.69; 97.01; 91.14; 110.22; 103.83; 97.32; 92.89; 110.1
21.0; 113.86; 96.59; 99.27; 113.21; 103.23; 99.26; 93.85; 112.93; 105.43; 99.6; 95.48; 112.83
22.0; 116.7; 99.07; 102.32; 116.02; 104.96; 101.32; 96.3; 114.69; 107.49; 101.71; 98.06; 114.74
23.0; 118.34; 101.42; 105.06; 118.13; 107.13; 103.51; 98.83; 116.27; 109.54; 103.99; 100.68; 116.21
24.0; 120.52; 103.74; 107.74; 119.65; 109.47; 105.77; 101.33; 118.73; 111.91; 106.26; 103.26; 118.72
25.0; 122.73; 106.39; 110.44; 121.33; 111.38; 107.89; 103.84; 121.84; 114.13; 108.42; 105.64; 121.83
26.0; 124.95; 108.92; 113.39; 124.13; 113.51; 109.75; 106.13; 125.14; 116.02; 110.34; 107.86; 125.13
27.0; 126.91; 111.11; 116.04; 127.29; 115.54; 111.88; 108.42; 128.31; 117.83; 112.46; 110.19; 128.29
28.0; 128.53; 113.46; 118.84; 130.74; 117.28; 114.24; 110.68; 131.52; 119.55; 114.75; 112.65; 131.53
29.0; 130.33; 115.65; 121.59; 134.09; 118.59; 116.4; 113.26; 135.25; 120.93; 117.01; 115.17; 135.27
30.0; 132.19; 117.84; 124.32; 137.23; 119.83; 118.62; 115.61; 138.82; 122.31; 119.33; 117.62; 138.83
31.0; 133.7; 120.19; 127.18; 140.25; 121.27; 120.89; 118.06; 142.58; 123.97; 121.62; 120.21; 142.58
32.0; 135.5; 122.53; 129.96; 143.96; 122.75; 123.04; 120.52; 146.45; 125.17; 123.72; 122.63; 146.47
33.0; 137.25; 124.65; 132.38; 147.6; 123.84; 125.24; 122.55; 149.5; 126.47; 125.99; 124.89; 149.52
34.0; 139.15; 126.78; 134.8; 151.78; 125.22; 126.98; 124.8; 152.22; 128.02; 127.81; 127.29; 152.22
35.0; 140.64; 128.97; 137.45; 155.95; 126.25; 128.93; 127.18; 156.18; 129.62; 129.83; 129.88; 156.19
36.0; 142.7; 130.97; 139.99; 158.72; 128.03; 130.85; 129.02; 159.23; 131.03; 131.78; 131.98; 159.27
37.0; 145.22; 133.36; 142.56; 161.97; 129.75; 132.77; 131.18; 162.51; 132.7; 133.75; 134.35; 162.55
38.0; 147.14; 135.26; 145.21; 164.74; 131.59; 135.04; 133.58; 165.35; 134.78; 136.06; 136.87; 165.59
39.0; 149.55; 137.33; 147.68; 167.55; 133.56; 137.01; 135.51; 167.16; 136.43; 138.24; 139.01; 167.5
40.0; 151.57; 139.35; 150.03; 170.98; 135.45; 138.63; 137.38; 170.63; 138.53; 139.79; 141.01; 170.89
42.0; 155.64; 143.42; 155.15; 177.38; 139.09; 142.33; 141.18; 176.91; 142.56; 143.53; 145.41; 177.16
44.0; 159.35; 147.43; 159.8; 184.17; 142.01; 145.72; 145.04; 183.89; 146.35; 147.06; 149.66; 183.99
46.0; 163.1; 151.73; 164.49; 190.54; 145.18; 149.17; 148.85; 190.24; 150.11; 150.6; 153.79; 190.3
48.0; 166.06; 155.38; 169.33; 196.22; 149.48; 152.89; 152.77; 196.09; 154.64; 154.43; 157.85; 196.14
50.0; 169.81; 159.05; 173.72; 201.58; 153.71; 156.34; 156.41; 200.72; 158.59; 157.91; 161.7; 201.15
52.0; 173.44; 163.23; 178.43; 206.69; 157.61; 159.96; 160.14; 206.26; 162.16; 161.6; 165.64; 206.67
54.0; 177.11; 166.67; 182.66; 209.71; 160.89; 163.37; 163.52; 211.28; 165.6; 165.29; 169.03; 211.96
56.0; 180.02; 170.64; 186.92; 213.36; 163.88; 166.48; 166.91; 215.98; 167.48; 168.53; 172.61; 216.96
58.0; 183.69; 174.09; 191.33; 216.12; 166.0; 169.59; 170.38; 221.23; 170.04; 171.74; 176.21; 221.88
60.0; 187.65; 177.92; 195.9; 219.62; 168.58; 172.56; 173.89; 223.48; 172.14; 174.82; 179.79; 224.59
