p = 8; sample_size = 100
true distinct count; compressed bytes hll6 bzip2; compressed bytes hll6 lzma; compressed bytes hll6 deflate; compressed bytes hll6 zstd; compressed bytes hll8 bzip2; compressed bytes hll8 lzma; compressed bytes hll8 deflate; compressed bytes hll8 zstd; compressed bytes ull bzip2; compressed bytes ull lzma; compressed bytes ull deflate; compressed bytes ull zstd
56.0; 116.8; 103.77; 94.64; 104.47; 94.9; 94.41; 79.22; 125.13; 105.87; 97.43; 87.12; 123.45
58.0; 118.31; 105.47; 96.09; 105.23; 95.59; 95.83; 80.2; 128.06; 107.07; 99.07; 88.3; 124.92
60.0; 119.54; 107.27; 97.4; 105.99; 96.37; 97.21; 81.12; 126.83; 107.89; 100.75; 89.34; 124.07
62.0; 120.75; 109.04; 98.65; 106.65; 97.11; 98.71; 82.07; 123.12; 108.87; 102.37; 90.46; 119.45
65.0; 122.68; 111.56; 100.54; 107.72; 98.52; 100.75; 83.65; 121.16; 110.91; 104.77; 92.33; 119.24
68.0; 124.25; 113.92; 102.18; 108.93; 99.74; 102.89; 85.11; 119.4; 112.84; 106.99; 93.84; 117.51
71.0; 126.19; 116.35; 103.83; 109.7; 100.95; 104.86; 86.38; 113.03; 114.5; 109.24; 95.46; 114.21
74.0; 128.27; 118.67; 105.18; 110.91; 102.2; 106.64; 87.66; 110.77; 116.15; 111.36; 96.95; 115.1
77.0; 129.68; 120.97; 106.71; 111.43; 103.11; 108.58; 88.84; 107.79; 117.88; 113.43; 98.27; 114.72
80.0; 130.87; 122.92; 108.05; 112.62; 103.87; 110.3; 90.15; 109.36; 119.47; 115.77; 99.73; 115.02
84.0; 133.39; 125.86; 110.37; 113.4; 105.38; 112.56; 91.63; 107.0; 121.03; 118.29; 101.68; 116.07
88.0; 135.54; 128.7; 112.09; 114.59; 106.55; 114.59; 93.12; 107.02; 122.85; 120.65; 103.33; 117.08
92.0; 137.08; 131.1; 114.0; 115.38; 107.58; 116.6; 94.57; 107.82; 124.37; 123.31; 105.18; 117.91
96.0; 138.83; 133.5; 115.62; 116.26; 108.82; 119.01; 95.78; 108.41; 126.3; 125.81; 106.74; 119.27
100.0; 140.31; 135.86; 117.38; 117.06; 110.52; 120.96; 97.11; 109.26; 127.72; 128.42; 108.52; 120.27
105.0; 142.48; 138.8; 119.05; 118.33; 112.46; 123.73; 98.9; 109.84; 129.84; 131.58; 110.55; 121.02
110.0; 144.24; 141.75; 120.8; 119.64; 114.51; 126.22; 100.41; 110.73; 132.13; 134.78; 112.45; 122.01
115.0; 145.91; 144.11; 122.16; 120.98; 116.15; 128.6; 101.74; 111.76; 134.01; 137.69; 114.15; 123.0
120.0; 148.1; 147.02; 123.82; 122.03; 117.34; 130.81; 103.16; 112.22; 136.83; 140.48; 115.99; 123.83
125.0; 149.75; 149.36; 125.36; 123.12; 118.72; 133.1; 104.66; 112.94; 139.05; 143.09; 117.8; 124.86
131.0; 151.24; 151.64; 126.73; 124.36; 119.71; 135.36; 106.05; 113.54; 141.84; 146.44; 119.72; 125.95
137.0; 153.17; 154.68; 128.3; 125.47; 121.03; 137.76; 107.58; 113.82; 144.27; 149.63; 121.54; 126.55
143.0; 155.06; 157.17; 129.62; 126.54; 122.07; 140.2; 108.91; 114.55; 146.13; 152.62; 123.36; 127.31
150.0; 157.02; 159.75; 131.46; 127.86; 123.82; 142.47; 110.34; 114.93; 148.73; 155.7; 125.13; 128.42
157.0; 158.83; 162.59; 133.07; 129.48; 124.99; 144.63; 111.45; 114.62; 150.96; 158.74; 126.72; 129.02
164.0; 160.54; 165.29; 134.19; 130.8; 126.09; 146.66; 112.72; 115.46; 152.38; 161.73; 128.44; 129.92
172.0; 162.32; 167.99; 135.56; 132.11; 127.07; 148.79; 114.01; 115.17; 154.18; 164.46; 130.29; 130.4
180.0; 163.57; 170.27; 136.77; 133.65; 127.91; 150.8; 115.37; 115.15; 155.74; 167.64; 131.81; 130.85
188.0; 165.55; 172.7; 138.16; 135.21; 128.75; 152.49; 116.17; 115.41; 157.45; 170.17; 133.28; 131.4
197.0; 167.58; 174.79; 139.31; 136.72; 129.74; 154.47; 117.3; 115.11; 159.55; 173.38; 134.94; 132.08
206.0; 169.32; 176.8; 140.54; 138.25; 131.11; 156.65; 118.47; 114.59; 161.62; 176.82; 136.78; 132.59
216.0; 171.02; 178.72; 141.85; 140.11; 132.03; 158.76; 119.61; 114.88; 163.63; 179.88; 138.45; 133.12
226.0; 172.57; 180.64; 143.04; 141.38; 133.2; 160.51; 120.5; 114.73; 164.99; 182.81; 139.97; 133.53
237.0; 174.06; 182.9; 144.08; 143.09; 134.26; 162.16; 121.47; 114.53; 166.57; 185.9; 141.48; 133.99
248.0; 175.26; 184.87; 145.27; 144.78; 135.16; 163.74; 122.65; 114.43; 168.34; 188.85; 142.78; 134.76
260.0; 177.07; 186.75; 146.51; 146.32; 136.45; 165.65; 123.38; 114.53; 169.79; 191.72; 144.28; 135.51
273.0; 178.23; 188.26; 147.65; 147.65; 137.16; 166.72; 124.31; 114.47; 170.82; 193.94; 145.36; 136.35
286.0; 179.28; 189.41; 149.04; 149.37; 137.91; 168.27; 124.8; 114.22; 172.5; 196.48; 146.98; 137.17
300.0; 181.04; 190.8; 150.3; 150.9; 138.86; 169.91; 125.92; 114.48; 174.59; 199.54; 148.36; 138.13
314.0; 181.72; 192.12; 151.42; 152.27; 139.54; 170.9; 126.44; 114.53; 176.05; 201.9; 149.48; 139.43
