p = 16; sample_size = 100
true distinct count; compressed bytes hll6 bzip2; compressed bytes hll6 lzma; compressed bytes hll6 deflate; compressed bytes hll6 zstd; compressed bytes hll8 bzip2; compressed bytes hll8 lzma; compressed bytes hll8 deflate; compressed bytes hll8 zstd; compressed bytes ull bzip2; compressed bytes ull lzma; compressed bytes ull deflate; compressed bytes ull zstd
1.0; 54.2; 96.18; 77.52; 27.0; 53.27; 100.66; 92.66; 26.99; 55.26; 100.7; 93.49; 26.99
2.0; 60.06; 100.97; 81.85; 30.99; 58.01; 105.75; 96.66; 31.57; 60.75; 105.87; 98.16; 31.57
3.0; 66.68; 105.8; 87.43; 35.85; 63.66; 111.21; 101.71; 38.12; 66.73; 111.4; 103.5; 38.12
4.0; 72.06; 110.49; 91.96; 41.21; 68.36; 116.53; 106.23; 44.24; 71.53; 116.7; 108.09; 44.24
5.0; 77.19; 115.24; 96.51; 47.64; 72.99; 122.14; 110.21; 50.3; 76.32; 122.34; 112.46; 50.3
6.0; 82.13; 120.0; 101.13; 52.96; 77.72; 127.8; 114.14; 56.41; 80.8; 127.98; 116.69; 56.41
7.0; 86.81; 124.54; 105.86; 59.64; 81.52; 133.18; 117.8; 62.21; 84.29; 133.42; 120.46; 62.21
8.0; 91.52; 129.51; 110.72; 65.73; 85.07; 138.64; 121.37; 67.96; 87.78; 138.83; 124.56; 67.96
9.0; 95.91; 134.2; 115.28; 71.54; 88.29; 143.81; 125.23; 73.62; 91.11; 144.02; 128.67; 73.62
10.0; 100.08; 139.04; 119.52; 77.15; 92.45; 148.95; 128.75; 79.18; 95.33; 149.1; 132.4; 79.18
11.0; 104.34; 143.98; 123.68; 83.08; 96.33; 154.31; 132.14; 85.25; 99.08; 154.54; 135.96; 85.25
12.0; 108.54; 148.43; 127.89; 88.24; 100.59; 159.23; 136.01; 90.63; 103.37; 159.5; 140.03; 90.63
13.0; 111.91; 153.22; 131.92; 93.64; 104.32; 164.16; 139.49; 96.1; 107.24; 164.45; 143.65; 96.1
14.0; 114.97; 157.94; 135.99; 99.16; 108.2; 168.99; 142.9; 101.14; 110.86; 169.2; 147.3; 101.14
15.0; 118.73; 162.53; 139.88; 105.05; 111.11; 173.65; 146.16; 106.12; 113.47; 173.96; 150.86; 106.12
16.0; 122.37; 167.12; 143.85; 110.52; 113.58; 178.35; 149.45; 112.11; 116.05; 178.66; 154.32; 112.11
17.0; 126.02; 171.41; 148.41; 115.97; 115.19; 182.95; 152.59; 117.43; 117.73; 183.22; 157.79; 117.43
18.0; 129.29; 176.01; 152.65; 121.55; 117.32; 187.45; 155.89; 122.53; 120.09; 187.72; 161.22; 122.53
19.0; 132.87; 180.68; 156.59; 126.65; 120.7; 191.81; 159.26; 128.15; 123.24; 192.14; 164.92; 128.15
20.0; 136.12; 185.15; 160.99; 132.32; 123.75; 196.52; 162.56; 133.74; 126.17; 196.87; 168.59; 133.74
21.0; 138.6; 189.58; 164.78; 137.49; 126.64; 201.03; 165.71; 138.28; 129.0; 201.34; 171.97; 138.28
22.0; 141.49; 194.06; 168.66; 142.1; 129.46; 205.6; 168.86; 140.77; 132.07; 205.85; 175.67; 140.77
23.0; 143.89; 198.6; 172.42; 144.09; 132.11; 209.91; 171.95; 142.83; 134.81; 210.19; 179.14; 142.83
24.0; 146.26; 202.81; 176.26; 146.65; 135.22; 213.87; 175.14; 145.81; 137.96; 214.22; 182.61; 145.81
25.0; 148.89; 207.13; 179.93; 149.58; 138.38; 218.18; 178.21; 150.47; 141.23; 218.5; 186.11; 150.47
26.0; 151.55; 210.97; 183.61; 153.95; 140.86; 222.42; 181.33; 154.62; 144.33; 222.8; 189.74; 154.62
27.0; 154.88; 215.27; 187.06; 158.31; 144.09; 226.44; 184.64; 159.3; 147.15; 226.82; 193.24; 159.3
28.0; 158.29; 219.52; 190.73; 162.88; 146.74; 230.47; 187.67; 163.96; 150.09; 230.81; 196.59; 163.96
29.0; 161.46; 223.47; 194.54; 167.55; 150.13; 234.32; 190.9; 168.53; 153.02; 234.7; 200.03; 168.53
30.0; 164.59; 227.02; 198.11; 172.31; 152.66; 238.23; 193.84; 172.81; 155.3; 238.68; 203.27; 172.81
31.0; 167.45; 230.69; 201.69; 177.16; 154.84; 242.08; 197.01; 177.85; 157.51; 242.4; 206.5; 177.85
